Symbol,OpenDate,CloseDate,Trade Status,Trade Side,PnL ($),PnL (%),Entry Price,Exit Price,Trade Size,Holding Period
SPY Sep 19 '24 $567 Call,2024-09-18,,Open,Short,,,1.26,,6.0,0
SPY Sep 18 '24 $566 Call,2024-09-17,2024-09-18,Win,Short,636.0,0.6838709677419355,1.55,0.49,6.0,1
SPY Sep 18 '24 $571 Call,2024-09-17,2024-09-17,Win,Short,372.00000000000006,0.6019417475728156,1.03,0.41,6.0,0
SPY Sep 17 '24 $565 Call,2024-09-13,2024-09-17,Loss,Short,-461.99999999999994,-0.8369565217391304,0.92,1.69,6.0,4
SPY Sep 13 '24 $560 Call,2024-09-11,2024-09-11,Win,Short,48.00000000000001,0.186046511627907,0.43,0.35,6.0,0
SPY Sep 13 '24 $554 Call,2024-09-11,2024-09-11,Loss,Short,-834.0,-1.635294117647059,0.85,2.24,6.0,0
SPY Sep 16 '24 $554 Call,2024-09-11,2024-09-11,Loss,Short,-12.00000000000001,-0.015267175572519097,1.31,1.33,6.0,0
SPY Sep 13 '24 $545 Call,2024-09-11,2024-09-11,Loss,Short,-1679.9999999999998,-1.3145539906103285,2.13,4.93,6.0,0
SPY Sep 11 '24 $551 Call,2024-09-10,2024-09-11,Win,Short,971.9999999999999,0.9818181818181818,1.65,0.03,6.0,1
SPY Sep 11 '24 $548 Call,2024-09-09,2024-09-10,Loss,Short,-712.9999999999999,-0.6183868169991326,1.9216666666666666,3.11,6.0,1
SPY Sep 10 '24 $551 Call,2024-09-09,2024-09-09,Win,Short,204.0,0.53125,0.64,0.3,6.0,0
SPY Sep 09 '24 $544 Call,2024-09-06,2024-09-09,Loss,Short,-936.0,-1.1999999999999997,1.3,2.86,6.0,3
SPY Sep 09 '24 $547 Call,2024-09-06,2024-09-06,Win,Short,480.0,0.5633802816901409,1.42,0.62,6.0,0
SPY Sep 06 '24 $553 Call,2024-09-05,2024-09-06,Win,Short,732.0,0.9606299212598425,1.27,0.05,6.0,1
SPY Sep 06 '24 $557 Call,2024-09-05,2024-09-05,Win,Short,752.9999999999999,0.7492537313432835,1.6749999999999998,0.42,6.0,0
SPY Sep 06 '24 $555 Call,2024-09-03,2024-09-05,Win,Short,21.000000000000085,0.013671875000000056,2.56,2.525,6.0,2
SPY Sep 04 '24 $561 Call,2024-09-03,2024-09-03,Win,Short,540.0,0.9,1.0,0.1,6.0,0
SPY Sep 04 '24 $563 Call,2024-08-30,2024-09-03,Win,Short,193.99999999999994,0.380392156862745,0.85,0.5266666666666667,6.0,4
SPY Aug 30 '24 $563 Call,2024-08-28,2024-08-30,Loss,Short,-96.00000000000009,-0.0796019900497513,1.0050000000000001,1.0850000000000002,12.0,2
SPY Aug 30 '24 $565 Call,2024-08-29,2024-08-29,Win,Short,594.0,0.868421052631579,1.14,0.15,6.0,0
SPY Aug 30 '24 $566 Call,2024-08-28,2024-08-28,Win,Short,234.0,0.319672131147541,1.22,0.83,6.0,0
SPY Aug 28 '24 $565 Call,2024-08-26,2024-08-28,Win,Short,636.0,0.6385542168674699,1.66,0.6,6.0,2
SPY Aug 27 '24 $567 Call,2024-08-23,2024-08-26,Win,Short,12.00000000000001,0.07407407407407414,0.27,0.25,6.0,3
SPY Aug 26 '24 $562 Call,2024-08-22,2024-08-23,Loss,Short,0.0,0.0,1.41,1.41,6.0,1
SPY Aug 26 '24 $568 Call,2024-08-21,2024-08-22,Win,Short,450.0,0.7653061224489796,0.98,0.23,6.0,1
SPY Aug 23 '24 $564 Call,2024-08-19,2024-08-21,Loss,Short,-828.0000000000001,-1.971428571428572,0.7,2.08,6.0,2
SPY Aug 23 '24 $547 Call,2024-08-01,2024-08-02,Win,Short,1968.0,0.45179063360881544,7.26,3.98,6.0,1
SPY Aug 23 '24 $547 Call,2024-08-13,2024-08-13,Loss,Short,-624.0,-0.4351464435146444,2.39,3.43,6.0,0
SPY Aug 23 '24 $540 Call,2024-08-12,2024-08-13,Loss,Short,-887.9999999999998,-0.35238095238095224,4.2,5.68,6.0,1
SPY Aug 19 '24 $538 Call,2024-08-08,2024-08-12,Win,Short,19.000000000000306,0.00879222582137913,3.601666666666667,3.57,6.0,4
SPY Aug 20 '24 $535 Call,2024-08-08,2024-08-08,Loss,Short,-403.0000000000001,-0.14475574712643685,4.64,5.3116666666666665,6.0,0
SPY Aug 19 '24 $525 Call,2024-08-07,2024-08-08,Loss,Short,-1606.9999999999993,-0.3766112022498241,7.111666666666667,9.79,6.0,1
SPY Aug 19 '24 $540 Call,2024-08-07,2024-08-07,Win,Short,827.0,0.46408529741863075,2.97,1.5916666666666668,6.0,0
SPY Aug 19 '24 $529 Call,2024-08-06,2024-08-07,Loss,Short,-1578.0000000000005,-0.4503424657534248,5.84,8.47,6.0,1
SPY Aug 16 '24 $532 Call,2024-08-06,2024-08-06,Win,Short,822.0000000000001,0.2486388384754991,5.51,4.14,6.0,0
SPY Aug 16 '24 $528 Call,2024-08-06,2024-08-06,Loss,Short,-455.9999999999999,-0.11014492753623183,6.9,7.66,6.0,0
